id,name
0pie1VYEnERArCasEIR7,Dragonbowl Main -9. Beef Shank (龍肴秘制牛腱子) 1300 ML only 
0yzNipxhY0heTMAsi8m2,R4 Tom Yum Fried Rice with Prawns
1mlvwFuC519gzOaGezHc,Sprite
2T9nRWvvBZ887BtczM5i,Dragonbowl Drink -3. Lemon black tea (柠檬红茶)
3FTaHAsb5qigSjVwkc55,Plum Spring Roll Sauce
53uVjVFxn17fbM7VPq4l,L3. Pad Prink Khing
6y7I7BWB5p9wxbsiRe18,A4. Skewers Chicken Satay
75F48UVMr9gQfwLmFoyx,29. Black Pepper Garlic Prawns
8iChvoeduCQ3RmO3sV2o,Call us If you have any questions
8k7QwC0mZa8yPtADuYRB,A1. Crispy Wontons
9EfCXy52e2CYZEgQtZe6,A2. Spring Rolls
A5RS27tGC4KfOscIaJsg,22. Cashew Stir Fry
Ayq0hBXf9epvWXplTlLx,L2. Pad Si Ew*
B0hxInitImDIb0qseHtN,L8. Fresh Vegetable Stir Fry in Curry
CP5k4SOoqmhOBpy96Yoh, L5G. Green Curry with Eggplants and Basil Leaves
ClzxoA528a7SNhbooE2t,11. Tom Ka Gai
DCk2kD28u3gIYrbc7J5E,Natural Coconut Water
Dct5yHJUfWgBoOJuWdFm,Dragonbowl Side -8. Woodear mushroom/酱拌特级云耳
DrbVyDLDXzViLKDYTD4y,10. Cabbage / 怪味台湾高丽菜
EPFIdosnEIda6dcZFKdY,Pork tenderloin (本地嫩猪里脊)
EZ6YeR3tw9dYhnwhhaWG,Dragonbowl BOGO -Black tea 原味红茶 
EqYUeee56KrewKr8n3fc,Combo for 2
FW4mshAG1W6HJ33eoXxU,Diet Coke
GIrpbALwZtCNvQCymWhM,19. Pad Kee Mao
GRAB7xMlkYUt9Ns6twah,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
GWK8DNstQv9UfXmGG19f,DragonBowl -Two person Alberta beef slice combo (雪花牛套餐)
HmCrO1SPZ3BbU7mzW68x,Alberta beef slice (阿尔伯塔雪花牛肉片)
IGKeXjDHBm0bNK1vb9pi,L6. Ginger Stir Fry
Iak4HDvKMRYhM91I1QL2,A5. Crispy Prawn Wonton
J1ULYKcq9LpxVbCydiPC,Dragonbowl Drink -5. Lychee black tea (荔枝红茶)
J6zqvp1ll5iGwIFgErEA,A3. Crispy Tofu
JGbabFLkF4M2NOpxCnGh,6. Fresh Papaya Salad
Jpkg4Ga3xXon3LVKCkDG, L7. Eggplant Basil Stir Fry
LO9jEKOO5RaVoBFPqgZJ,NF3. Sen Lek Pad Kee Mao
LwVLm6MKYodSqxitQJIv,9. Thai Beef Salad
NVXANYbTkLdvnWKCsM1H,L4. Thai Fried Rice*
NvsCg7UchxpRW8DGhIgS,Spoon
NwVscAGUI5FLb8JQJ1KL,Boneless Chicken thigh (农场鸡腿肉)
O12wdqNhKQNouDAdazb8,L9. Cashew Stir Fry
Ojuk9IjFiIit0EIjPNn2,NS5. Yellow Curry Chick Noodle
Ph1iuD6ZMX2RGwk6t1fU,27. Ginger Stir Fry
PzIfzxFk3UmMdteEJwum,26. Veggie Stir Fry with Thai Sweet Basil
Q1bUU8lekrZV1qxJsRUn,Braised Egg /古法秘制茶叶蛋
QFslILqbnSoTnLbd7n3O,Ginger Ale
QdrPHTh3XYVKJyBvRAvW,13. Thai Noodle Soup
TENrywbOnc68bYgWhE7F,NF2. Sen Lek Pad Si Ew
U0VmHkQQbACRHJ7NAKiW,Dragonbowl Drink -6. Roselle sour plum tea (洛神红梅茶)
UQX0IadKSjuuEQ2eW42I,28. Thai Basil Prawns Stir-fry
UVDbgXKOqlaybTDAwd1X,Thai Ice Tea
WykbsEzINm8HAabAGj6W,8. Thai Noodle Salad
X2570PzHOyMEJxxX1oFZ,Dragonbowl Side -7.Bean curd / 甜辣扬州干丝
Z6gsa7rvUmdwOuXj15wz,Dragonbowl BOGO -Peach black tea 蜜桃红茶 
Z8MxYt81UEzFOn7zTEXZ,Thai Ice Coffee
ZtZCyLh3F9yiRVRHyrpd,Thai Away School Catering
ZxLzjX4NbGwNQkEAy1t9,L1. Pad Thai*
a0VJT1p6broWnXgLQwnz,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
a24hKHBxrU2BLiBNdm1o,15. Yellow Curry with Potato
aQcuZ2LsioIHgXclLK9k,Lamb shoulder (草原嫩羊肩肉 ）
b7NQHlENtIBqhocAx84y,Junior bowl Special Catering 
diGszQA4S35yz52F7Lcv,Chopstick
esrrdKEPijGemZ5wzr8Z,White Jasmine Rice
fUEBXJG3q4Z55GUWzWXL,L5Y. Yellow Curry with Potatoes Topped with Crispy Shallots
fa5vCHAyh3Cin0s2U5kk,Vegan (全素豆制品)
g6IUgc3mu23Nl4wHRlvL,18. Pad Si Ew
gnqitYpU3OQkFTL5l9SS,20. Pad Thai
grUI6uccz7HT70dnuQcQ,Fork
hxdLnLg7QbMDRG3Si1L2,Jumbo shrimp (南洋黑虎大虾仁)
iHZ9MVfCz1dGuaMU4W21,"L5R. Red Curry with Bamboo Shoots, Bell Peppers and Basil Leaves"
k1qtVCofuFO4EjWbbmgh,6. Celery Carrot / 传统老北京芹菜
k4g9n3YVONWSwqtPEFiU,DragonBowl  -Two person Jumbo shrimp combo (南洋黑虎大虾仁套餐)
kzHC3M8urQIhobMiq8mK,25. Thai Fried Rice
lAC07dvdlJIfYi18iYns,Peanut Sauce
qMOz9HttNY6El93zuJ9y,24. Fresh Mixed Vegetables in Curry Sauce
r8puhfHsnQzcvTp4vIlw,Coke Zero
rNyGF6mslCqGK3AMqdri,Daily Soup / 是日例汤
rfRW2ppHXeif5lnnqDNk, 14. Green Curry with Eggplant
s2jL8pRHspeV3fBxLFti,Beef brisket （红烧半肥瘦牛腩）1300 ML only 
v2T59WJCtW2aciwTdoZR,R1. Pad Thai Fried Rice (Choice of protein)
vJ3ra0n15psaP7SFWyqu,21. Swimming Rama
