,Flax Seeds,Vitamin Bar LG Shot,Prawns,Gatorade Zero,AAA Certified Angus Beef,Fresh Squeezed Juice,Bubly Carbonated Drink,Crunch Salad,Extra Sauce,Barbie Smoothie,Prime - Hydration Drink,Kaizen Protein,Regular Goodbowl,Signature Chicken Goodbowl,Chocolate Banana,Signature AAA Certified Angus Beef Goodbowl,Jasmine Rice,Large Goodbowl,Mango Magic,Peanut Butter,Kids Goodbowl,Jasberry Organic Superfood Rice,Gatorade G2,ZOA Zero Sugar Energy Drink,Good Energy Bites,Beyond Meat,Regulatory Bag Fee,EARTH Water,Noodles,Pop - Can,Spinach,Lemon Ginger Shot,Kuterra Salmon,Sakura Premium Pork,Kale,Antioxidant (Pomegranate) Shot,Cove Probiotic Soda,Free Run Egg,Goodbowl Reusable Water/Juice Bottle 500ml,Organic Coconut Water,Green Machine,Smart Water,Pop - Bottle,Aquafina Bottled Water,9oz Juice and Energy Bite,Chia Seeds,Vitamin Bar Apples/Peanut Butter,Vitamin Bar Juice,Good Berry,Harvest Blend Rice,Lemon Ginger Shot - Lemon Ginger Shot,Free Run Chicken,Fresh Cut Pineapple Cup,Vitamin Water,The Classic,Vitamin Bar Salad,Organic Tofu,Signature Organic Tofu Goodbowl (Vegetarian),Vegetarian Superfood Bowl
Flax Seeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin Bar LG Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prawns,0,0,0,0,0,3,0,0,1,0,0,0,14,0,1,0,0,6,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
Gatorade Zero,0,0,0,0,0,10,7,1,1,0,11,0,127,2,5,2,1,82,3,0,24,0,1,3,3,0,0,0,1,25,0,1,0,0,0,0,6,5,0,5,4,0,0,12,0,0,0,0,1,0,0,2,0,2,9,0,0,2,0
AAA Certified Angus Beef,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,1,11,2,0,1,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
Fresh Squeezed Juice,0,0,3,10,0,0,8,7,3,0,1,2,404,6,18,3,1,200,48,0,114,0,0,0,17,1,0,0,1,20,0,8,1,0,0,1,6,19,0,7,37,0,0,10,0,0,0,0,30,0,1,0,1,0,13,0,0,3,2
Bubly Carbonated Drink,0,0,0,7,0,8,0,1,0,0,2,0,191,2,4,4,0,70,8,0,41,1,0,3,6,0,0,0,0,42,0,1,0,0,0,0,6,4,0,4,4,0,0,12,0,0,0,0,3,0,0,1,0,1,4,0,0,5,1
Crunch Salad,0,0,0,1,0,7,1,0,0,0,2,1,33,2,1,5,1,8,9,0,9,0,0,1,1,0,0,0,1,6,0,0,0,0,0,1,1,0,0,2,10,0,0,7,0,0,0,0,9,0,0,0,1,0,5,0,0,0,1
Extra Sauce,0,0,1,1,2,3,0,0,0,0,0,0,5,0,1,0,4,2,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Barbie Smoothie,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prime - Hydration Drink,0,0,0,11,0,1,2,2,0,0,0,0,52,2,1,0,0,38,2,0,16,0,0,1,0,0,0,1,0,19,0,1,0,0,0,0,3,3,0,2,4,0,0,6,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0
Kaizen Protein,0,0,0,0,0,2,0,1,0,2,0,0,5,0,3,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
Regular Goodbowl,0,0,14,127,19,404,191,33,5,4,52,5,0,38,286,33,9,995,424,0,622,4,5,37,122,1,0,7,8,1100,0,31,3,2,0,4,171,238,0,79,410,0,3,318,0,0,0,0,316,1,1,15,1,5,248,0,2,20,16
Signature Chicken Goodbowl,0,0,0,2,0,6,2,2,0,0,2,0,38,0,7,32,0,17,10,0,8,1,0,0,1,0,0,0,0,15,0,5,0,0,0,2,2,0,1,3,19,3,0,3,0,0,0,0,12,0,0,0,0,0,6,0,0,19,4
Chocolate Banana,0,0,1,5,0,18,4,1,1,1,1,3,286,7,0,4,1,179,59,1,62,1,0,1,24,0,0,0,1,44,1,5,0,0,0,1,5,19,0,2,38,3,0,14,0,0,0,0,42,0,0,2,0,1,28,0,0,7,5
Signature AAA Certified Angus Beef Goodbowl,0,0,0,2,0,3,4,5,0,0,0,0,33,32,4,0,0,13,10,0,4,0,0,0,1,0,0,0,0,11,0,1,0,0,0,2,3,0,0,1,5,0,0,2,0,0,0,0,8,0,0,0,0,0,5,0,0,15,4
Jasmine Rice,0,0,0,1,1,1,0,1,4,0,0,0,9,0,1,0,0,3,0,0,2,0,0,3,0,0,0,1,2,4,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0
