,productId,category,productName,price
0,3JhVYAMmYtev2peSV2R9,The Cheesecake Factory,Cinnabon® Layer Cheesecake,749
1,Jz0UD7Ju25XF8JHcPB3c,The Cheesecake Factory,Classic Cheesecake,749
2,XH85j5HdrDDLjDvuI58Y,The Cheesecake Factory,Dulce de Leche Cheesecake,749
3,osTaOx1dWqY1OPG4UW1K,The Cheesecake Factory,Fudge Cake,749
4,IzgME2w65EdRelg06Mec,The Cheesecake Factory,Godiva® Double Chocolate Cheesecake,749
5,hs7hIiQD57MMFjguvuUL,The Cheesecake Factory,Mango Key Lime Cheesecake,749
6,bz8mshzdqxBeMrZUvFeb,The Cheesecake Factory,OREO® Cookies & Cream Cheesecake,749
7,n4NigbyCeB3tcqEKVOzO,The Cheesecake Factory,Red Velvet Cake Cheesecake,749
8,ohhGQY5tJWDWxxGbbJcj,The Cheesecake Factory,Reese’s® Peanut Butter Cheesecake,749
9,MGdMMzRzBqgnPRzwfzGK,The Cheesecake Factory,White Chocolate Raspberry Cheesecake,749
10,IiDaM2RJGniEmGnqU5xV,The Cheesecake Factory,Wild Strawberries & Cream Cheesecake,749
11,lRUXjC3MDINFkSPoeZCR,Salads,Build Your Own,899
12,xKyZvFsvDcf9iBWJAk9E,Salads,Green Goddess Kale Salad - 400 Cal,1299
13,kGEJsHZpKUTD50E0AnwC,Salads,Rad Chicken Caesar Salad - 380 Cal,1399
14,MJnaO678FFo5GimYbr2i,Salads,Rad Cobb Salad - 410 Cal,1499
15,TyRYKGn2Q3gVg83OFNOg,Salads,Santa Fe Salad - 440 Cal,1299
16,kPpN6b4EK5yiTa6pN29S,Salads,Zesty Greek Salad - 370 Cal,1199
17,lRUXjC3MDINFkSPoeZCR,Wraps,Build Your Own,899
18,7nkiKmDNdYaWOCLD2qOj,Wraps,Green Goddess Kale Wrap,1299
19,xh3EIbyCf7vKt7gfzPsB,Wraps,Rad Chicken Caesar Wrap,1399
20,cttEAnc6IgwEEcKGse1x,Wraps,Rad Cobb Wrap,1499
21,VBpPxNex0wr6cJF0sZ5B,Wraps,Santa Fe Salad - Wrap,1299
22,clIsfFrnOdDSxMSBdX3X,Wraps,Zesty Greek Wrap,1199
23,SAxA24HvAv7bJtAcgLRo,Sandwiches,Apple wood Smoked Brisket - 520 Cal,1499
24,BhFEM6y4aAp5pCW8RZCF,Sandwiches,Grilled Cheese - 380 Cal,999
25,a5rt3HzZxX4UJppYM8Kh,Sandwiches,Spicy Chipotle Chicken - 450 Cal,1199
26,gxC8wQvgqCQpy5EQCBda,Soups,Soup of The Day,599
27,CHmFqJe833Em7tXxadfa,Smoothies,Berry Burst - 270 Cal,799
28,shRHJ0FaNxXIRw3XtveW,Smoothies,Green Powerhouse - 220 Cal,799
29,BIvPXOgdHfqF8Cdq2gW3,Smoothies,Nutty Banana - 310 Cal,799
30,0cqEoK0gh6vEicCDUumN,Smoothies,Tropical Dream - 250 Cal,799
31,vuvTXNXzHx8wgRZx6BCi,Beverages,Energizing Vitamin Waters,500
32,RmCP9hHZdblcPREpvn54,Beverages,Coca Cola,350
33,9vfL4g0374SQHKNmUIdw,Beverages,Dasani Water,350
34,qtOhxZ1H68Ql4Zteqbyl,Beverages,Nestea,350
35,3AGEK6YHS5BOWHTL3RWOY5FE,Chicken,Full Chicken,2025
36,DC4MQZCE54B2HD34ELQ7G4SC,Chicken,Half Chicken,1625
37,2KRQZ52KF2MBRBRSF7I6K3FA,Chicken,Quarter of Chicken,1100
38,APVMDXALGGR2MI3MBMH472BN,Sides,Smashed bacon potato salad,699
39,AHTDEDTGCSZ3VOYYRXTW6WQV,Sides,Coleslaw,699
40,PYUOIBZ75QWS3U7GF2CSPIHC,Sides,Cranberry Quinoa,699
41,M5GMW2OJA7LDI4MQ7EAUSYS2,Sides,Mac & Cheese,699
42,SWW5233ZYPIOAMYFBTWH5E4C,Combos,Combo A,0
43,62LYKFQC2HGVSTSSWJNU7EYO,Combos,Combo B,0
44,FYZ76QO7TKN54CNGYD5CTR5A,Combos,Combo C,0
45,GOTETWIA7OFF5HUCZSPZ6NNH,Beverages,Dasani water bottle,350
46,ZPZF73DJNELWKSABLBXOO23O,Beverages,Vitamin water Zero Sugar,400
47,KTY7C5JLHZJL5C56XAGGAXEL,Beverages,Vitamin Water Orange,400
48,JHXZ3UB727CII44ZPT3CFKG5,Beverages,Vitamin Water Energy,400
49,IKGITWOTLERHWPIJ4XR3EGEI,Beverages,Ice Tea (Nestea),350
50,44CBI6M4FCURG2FZNCTNOJFZ,Beverages,Coca Cola Pop,350
51,B5BXMCPNQ52PORB3HYFXCX4M,Starters,Smoked Sausage Starter,900
52,SFV4I4D55EPOIKRUBLH4LGVC,Starters,Fully Loaded Nachos,2800
53,ZSRHFZKYBGWZU34HN5RILG2O,Starters,BBQ Nachos,1800
54,UJW6VY2QMYGPUQUV3O3GE5NF,Starters,BBQ Poutine,1900
55,IDDGCUVIDPB6V744RVSPVWGT,Starters,BBQ Shrimp Starter,1700
56,7JEYRFYEX7BJBRU4MQOJT7V6,Starters,Rib Ends Starter,1600
57,XD3YTG4U3WEG6OZZCHGTYSWA,Starters,Smoked Pit Wings Starter,1500
58,YL5JNZYYIHSJVJGIJ2YLU5NA,Starters,Fire Dusted Calamari,1700
59,AEKC4FXYB75YIJK2NVTNMTJM,Starters,Corn Meal Crusted Shrimp,800
60,3P5RRW2T5A7457DNMCIEYVPP,Starters,Onion Rings Starter,1000
61,CAJ7AZLMCIKVERQ5KIWUGTEW,Bowls,Smokehouse Chili,1800
62,LPXSEUOZGBA7TQHMEC5UC6ZR,Bowls,Soup,1000
63,M56IS6E4CDEICDVSN4QYDYHM,Bowls,Burgoo,1800
64,C3HYLIT57XX25AKZHRM3M44B,Bowls,Jambalaya,2500
65,AB34OTUBAQ27BP5SUBWSZLI6,Sandwiches,Pulled Pork Sandwich,1700
66,GWEAQ445BILFN5S55HKMOCOO,Sandwiches,Calamari Po'Boy Sandwich,1800
67,VIPGHNDVJ6ISPU3FKFE65YKS,Sandwiches,Catfish Po'Boy Sandwich,1800
68,AQAZDXMIQHEYW4ATDMSTDL53,Sandwiches,Smoked Sausage Sandwich,1600
69,Z4SNSBZRMJ2TAOMH244FZQRF,Sandwiches,Beef Rib Sandwich,2200
70,F4CR6SVQQM6QFH5HS2XJO6MG,Sandwiches,Sliced Beef Brisket Sandwich,1800
71,Y2SXAWSIDU3LIYHMWAL3BES2,Sandwiches,2-Meat Sandwich,2000
72,2YZNVECTCT54A5234HMVD2VY,Sandwiches,Tennessee Hot Chicken Sandwich,1800
73,HWNPG5UJTV2EDAE3A3CRBLM4,Sandwiches,Shrimp Po'Boy Sandwich,1800
74,D55D6NHEBEXNF56GI4ARSVP6,Sandwiches,Pulled Chicken Sandwich,1800
75,7G2GEBWW7WSIOX36SVSVDNY3,Sandwiches,Rib Ends Sandwich,1700
76,XWVSCYJEHYUOAEGGHOGMF7GH,Meals,Beef Ribs Meal,4700
77,K22DUQTLI7PGZ3PW3COXFBKC,Meals,Smoked Sausage Meal,2600
78,7BWHZZGOHUHU6JKXKH5NQJAF,Meals,1/2 Chicken Meal,2400
79,ONVGXL3EKPN6KNPEHEZVDGA2,Meals,Catfish Meal,2600
80,HJLLQOW222NPIM3HDPHK4PUG,Meals,Chicken Meal,3800
81,QNDZ35KWX2GFTMHJ2EWVE3KM,Meals,Ribs Meal,4000
82,76CDLTRC3XAENDWJSRAHE3ED,Meals,Sliced Beef Brisket Meal,3000
83,3LR5QQPOWQ3Y4SV5EYO53N2Z,Meals,Combo Plate Meal,3600
84,GRDEXGKGIYRB5JTRD7EI537O,Meals,Pulled Pork Meal,2800
85,JSMVGFMGHPASQT5EVY5OAUPJ,Meals,Rib Ends Meal,2600
86,XC2LKIOU7BLFGQWJQWHNSQVF,Meat,Rib Ends - Meat By the Pound,1600
87,M5ID7ZCC2JJE7KZDFMZWENHZ,Meat,Beef Brisket - Meat By the Pound,2100
88,QGTMVN4EPSZNRDQZ6EDCLOD3,Meat,BBQ Chicken - Meat By the Pound,1400
89,ZDBBK2BQWCO2JAX7JFIQYSRJ,Meat,1/2 Slab of Ribs - Meat By the Pound,2000
90,QVSZGXUMFQR4IBZUWDAPYALD,Meat,Smoked Sausage - By the Link,900
91,MDX53NFE7NHTO6XC5KWEQ4EV,Meat,1 pc Catfish,800
92,FV3C5SKDA3TWXTDNIYRTUEEP,Meat,Full Slab of Ribs - Meat By the Pound,3400
93,CZI3LSCQIE6NTSNR7PYBGHXQ,Meat,Pulled Pork - Meat By the Pound,1500
94,K2NVXYQ7GARNHVTPH7HS44SI,Platters,Elvis Platter,13500
95,PGJH6SZBSXASJAJYZYIUQTRI,Platters,Game Day Special (Memphis Feast + Russel 6pk),9000
96,LHQJYIFNLJLDQUWBBFVHUI6A,Platters,Memphis Feast,9000
97,EDTWYKXKGIXKKYRUBNMAH6BR,Platters,Seafood Medley,3100
98,UNFXTD3J5DY5QFGB6BGD5ZYX,Platters,Priscilla Platter,28000
99,HFO64LSJK55FOYVS6U3YLTZA,Sauces,Side of Spicy BBQ Sauce,250
100,UDD5UBWF5C52SUJ2ODYD4KNC,Sauces,Crunch Sauce,250
101,XQDZEXFBHBN2CPQBQ4IHFDQN,Sauces,Side of Housemade BBQ Sauce,250
102,UHMPEXQ4KZFKLG4JLXMV7VXZ,Sauces,Side of Mayonnaise,250
103,V3X3I4AG6KA45X56CSV2VR6G,Sauces,Side of Caster Sauce,250
104,77TYKKQDWBAVGBVXUU3RVMKA,Sauces,Side of Teriyaki Sauce,250
105,27PJZIDJWAFPCSURYX6KJJJ7,Sauces,Caramel Bourbon Sauce,300
106,ESNUQG2NFUTZG4TR2G4QJCQZ,Sauces,Side of Buffalo Sauce,250
107,AJFXWEW7R4AYE4Y4C3MPF2U4,Sauces,Side of Carolina Mustard,250
108,2CGNRPOUPHVH6DJ6B5UIFLIP,Sauces,Side of Alabama White Sauce,250
109,E6HHZ3SZU6ST6KZUJNRG7AE4,Beverage,Soda,500
110,WTMLP5GCZN43S7G6QM2ZGBDB,Beverage,Juice,400
111,IUZYXYHBGPIDYVM4BBLZ64LQ,Retail,Retail Carolina Mustard,800
112,ZIUSRH57VEMJCKOAYV275X3I,Retail,Retail BBQ Sauce,800
113,IYJG42TGVMNGKYIDHMMIFQZ3,Retail,Retail All Purpose Rub,700
114,T4CMVXP42X62NUALJWUUVBVQ,Retail,Retail Brisket and Lamb Rub,700
115,RVA555KXWGPBW4DNVXGLCAMS,Desserts,Pecan Pie,700
116,T7CFELEYMW55IBXQENLOZL6X,Desserts,Key Lime Pie,700
117,HTCTCCWTPA3XNPBNRENGTDCQ,Desserts,Peach Crumble,700
118,VCAT2KZF35XDN2DKQF2BQJFL,Salads,Caesar Salad,1400
119,E3EIBO3A557AZDDVVDFX7EMI,Salads,Organic Green Salad,1100
120,RNBASS5PADUEWJXQ7LN3IGPZ,Sides,Slaw,600
121,O3JBV7JDMT7VWQ5UE6KCHNF6,Sides,Jamba Rice,800
122,TV7WD2Z4UCJL72RMFECCOMWY,Sides,Collard Greens,800
123,TU6VXNVVLPDKJVLKLFJJHYPJ,Sides,Fresh Cut Fries,700
124,BX2F4ACM7WOMENVK5TBQ2KG7,Sides,BBQ Pit Beans,600
125,WXPZTZ5GROUL2QTY2BBVVSY7,Sides,Potato Salad,600
126,SMYQBTERMQRMXZIXQ4GXQD5G,Sides,Corn Bread (5 pcs),700
127,Z65X46XDPKBNBTVTESSSFRFG,Alcohol,"Russell Brewing CRAFT LAGER, 355ml beer can , (5% ABV)",500
128,LVXWE7OGKAC6BS3HPTVO33LF,Alcohol,"Powell Brewing DIVE BOMB Smooth Dark Ale, 4pk - 473 ML can beer (5.0% ABV)",2500
129,LGSHWDO2UOVP63HQEHVDRXBI,Alcohol,"Powell Brewing DIVE BOMB Smooth Dark Ale, 473 ML can beer (5.0% ABV)",700
130,VQWKL5BL5J2GUMC7WFU76A2I,Alcohol,"Russell Brewing CRAFT LAGER, 6pk - 355ml beer can , (5% ABV)",2000
131,VYBDCLXYHPV5K2OGHRICPOK4,Alcohol,"Powell Brewing OLD JALOPY Pale Ale, 4pk - 473 ML can beer (5.5% ABV)",2500
132,T4JFSQ7ECG2TWZNW27M2IIRL,Alcohol,"Powell Brewing DIVE BOMB - OLD JALOPY Variety Pack, 4pk - 473 ML can beer (5.5% ABV)",2500
133,UMDUPYUOZ73VJQPGIBAJFHWF,Alcohol,"Russell Brewing WEST COAST IPA, 6pk - 355ml can beer, (5.5% ABV)",2000
134,PUBYDYKD6HDLB2LMBESL2LKP,Alcohol,"Powell Brewing OLD JALOPY Pale Ale, 473 ML can beer (5.5% ABV)",700
135,HHD7LYO5J46BYTV6N5CELOJK,Alcohol,"Russell Brewing WEST COAST IPA, 355ml can beer, (5.5% ABV)",500
136,RPF2SPFBRSZCMXSHPURXCIEE,Chef Inspired Bowls,The Spicy Gochu Chicken Bowl,1550
137,JGKU5SWRYH5FBBOMLNXIYTX5,Chef Inspired Bowls,The Main Bowl,1750
138,XVQUX7NQSKKD7E4IRPTIN2XP,Chef Inspired Bowls,Surf & Turf Bowl,1550
139,CJKLP64DXNVFMUKVNC6QCMWJ,Chef Inspired Bowls,The Veggie Bowl,1500
140,PQ6ZI425AW22JTOAAVJ35D36,Chef Inspired Bowls,The Maui Bowl,1700
141,RFJTESN2RIXE2DII2QSQ4FUN,Chef Inspired Bowls,The Cali Bowl,1550
142,SE3UAQKZ6KMR3YEYMKDQ6THH,Create Your Own,Large Build Your Own Poke Bowl,1775
143,GRRTJAH7J37CZTDE3ESUVOGN,Create Your Own,Regular Build Your Own Poke Bowl,1500
144,F42RBP4POPCLMOKOZU32L2AE,Sushi,Sushi - 2 Roll Combo,1500
145,DOBHMVOELGQLIG4YSYP2R7YR,Sushi,Sushi - 3 Roll Combo,2100
146,7QYQUWE6DRHKQ3F43NJQGBP2,Sushi,Tataki Wasabi Tuna Oshi,900
147,YQMGDKGRPTZIHBMJZ3E5ZRKJ,Sushi,Tataki Spicy Salmon Oshi,900
148,7Q3LLO3JXRG54B53PY4YM4JR,Drinks,Beverages,0
149,H5PPZO5DMSY5KZTBWZY4Q3XE,Sandwiches,Smoked Ham,1100
150,PANZ3RKDMPVQLKK4TYMWEV3X,Sandwiches,Vedge Sandwich,1000
151,MVTNQDJ6764TQ2NKBIFW7SMI,Sandwiches,Grilled Chicken,1400
152,FXFSILNA62ZGWK5ZGPMRC6QD,Sandwiches,Beef Sandwich,1200
153,FNKJD2LQY727OXY3MLTGG7YD,Sandwiches,Fromage,1100
154,2R2DOXRBMJACQCYJ3RPDVY47,Sandwiches,Grilled Cheese,800
155,S32EJEWKB3WW7NX2DEBWMJFL,Pizzas,Cheese,1200
156,J4NAZCJHU2ICEH5J76G4UN2N,Pizzas,Kale & Artichoke,1400
157,FCXUF3E4ZDAN4AMW4HVFHKBK,Pizzas,Mushroom,1400
158,NO2VZ7X34FRANIUZMDWPSD54,Pizzas,Pepperoni,1400
159,C2O6UAA4CWYIOAVPUDSQSRXC,Pizzas,Hawaiian,1400
160,SUUNN37567I2M2ZL2UXX3VBU,Beverages,Coca cola,350
161,J36ISWNETPBVBFRR3EQNE4GT,Beverages,Dasani Water,350
162,7SQJPNKIWZHLHVY4BEULKM72,Beverages,Vitamin Water Energy,400
163,ZQCYRN6TQYXY57PVVWOIB6FJ,Beverages,Nestea Ice Tea,350
164,RFJTESN2RIXE2DII2QSQ4FUN,Chef Inspired Bowls,The Cali Bowl,1550
165,JGKU5SWRYH5FBBOMLNXIYTX5,Chef Inspired Bowls,The Main Bowl,1750
166,PQ6ZI425AW22JTOAAVJ35D36,Chef Inspired Bowls,The Maui Bowl,1700
167,CJKLP64DXNVFMUKVNC6QCMWJ,Chef Inspired Bowls,The Veggie Bowl,1500
168,RPF2SPFBRSZCMXSHPURXCIEE,Chef Inspired Bowls,The Spicy Gochu Chicken Bowl,1550
169,GMKHWB5UG4TGU2NRPZFTM5GQ,Chef Inspired Bowls,Sweet Shoyu Chicken Bowl,1550
170,XVQUX7NQSKKD7E4IRPTIN2XP,Chef Inspired Bowls,Surf & Turf Bowl,1550
171,GRRTJAH7J37CZTDE3ESUVOGN,Create Your Own,Regular Build Your Own Poke Bowl,1500
172,SE3UAQKZ6KMR3YEYMKDQ6THH,Create Your Own,Large Build Your Own Poke Bowl,1775
173,DOBHMVOELGQLIG4YSYP2R7YR,Sushi,Sushi - 3 Roll Combo,2100
174,F42RBP4POPCLMOKOZU32L2AE,Sushi,Sushi - 2 Roll Combo,1500
175,7QYQUWE6DRHKQ3F43NJQGBP2,Sushi,Tataki Wasabi Tuna Oshi,900
176,YQMGDKGRPTZIHBMJZ3E5ZRKJ,Sushi,Tataki Spicy Salmon Oshi,900
177,WASHMOIVZ3NDOYLOQDGB6OSN,Bao,1-Pack Bao,450
178,FCKSHUDB3IFEGW45LCLSXWFS,Bao,2-Pack Bao,749
179,C7DRKCZQWUYCQ2NJ4CCVOY6Z,Bao,6-Pack Bao,1999
180,V6RLY6PYYBV7EYWTPDULL34P,Bao,3-Pack Bao,1200
