,productId,category,productName,price
0,I5F3IYWEX66YFQSENE2N5N7R,Snacks,Good Energy Bites,150
1,UH4EW7OZ34YYRAYFKPYM4ITZ,Smoothies,Chocolate Banana,865
2,4RAEVZVBHXPJYURFT4XB77RQ,Smoothies,Mango Magic,865
3,PFJJ5A7C6CQZBD4FOKIRWIHK,Smoothies,Green Machine,865
4,NDYG7TTHP577U7COAGVS7NZH,Smoothies,The Classic,865
5,K27FNV7DIVB7CMVDLHCY47BK,Smoothies,Good Berry,865
6,K6VGPYIGFEXZJ4OCVIXRX6UL,Smoothies,Barbie Smoothie,865
7,MSENL5BCCKTI2U46LG2T4BV3,Juices/Shots,Lemon Ginger Shot,395
8,T7PG4V35EWDTF2BDZGPEGR54,Juices/Shots,Lemon Ginger Shot - Lemon Ginger Shot,395
9,WCPRFNGE5NA7644IBECDEIFB,Juices/Shots,Antioxidant (Pomegranate) Shot,395
10,FUB2QZUNBB3J5YRNOJ4NWRFC,Juices/Shots,Goodbowl Reusable Water/Juice Bottle 500ml,1545
11,7KJGHIRJQ2BMABYHRLGKQ4MD,Juices/Shots,Fresh Squeezed Juice,815
12,Z6KPPDVQYVRDXSOKLTG2FA3E,Drinks,Organic Coconut Water,399
13,XK4IIQKONRG2V7DU7D4IM3AT,Drinks,EARTH Water,399
14,77J5ZTZMF5K3EL7BJOHGEDNI,Drinks,Bubly Carbonated Drink,225
15,3A2DGUHKEI3HQIZQCILWKWAQ,Drinks,Gatorade Zero,295
16,A2PXPF47L2L5QJG5ZRZAV7XB,Drinks,Cove Probiotic Soda,399
17,UPIDKG76HZXL3JNAWWW7CBMO,Drinks,ZOA Zero Sugar Energy Drink,399
18,WH6GNQBCO46XTEIGQ4XDD4YR,Drinks,Pop - Can,245
19,D2HG3KYO2E4ZQLEAYPQS5NXN,Drinks,Aquafina Bottled Water,225
20,GZECQ33VK3PE7U5KUYZ2X7DD,Drinks,Prime - Hydration Drink,399
21,YGA2U6Y7G7C37PEYVSQIB3NV,Bowl Add Ons,Free Run Chicken,395
22,J4HVLHM3TDUPOCVGKTW5U25U,Bowl Add Ons,Noodles,95
23,QPBTNVPRTLMWZ7ACU4GZ6NDJ,Bowl Add Ons,Sakura Premium Pork,395
24,CJP2KU4HBT4GTB5F7X4PJOCE,Bowl Add Ons,Free Run Egg,195
25,SFKEMS3F75NJ732RTERU5E2X,Bowl Add Ons,Jasmine Rice,95
26,E4ZNCTX2OXCOAXZPKTXFU4N5,Bowl Add Ons,Organic Tofu,395
27,FR4DWBUUHJIPXPQQUGWILE2B,Bowl Add Ons,Prawns,495
28,KLDYVPXPAGUU7VNOFDTRB7Y2,Bowl Add Ons,Beyond Meat,495
29,VM5JMBEUSGBL4GSKDQL2MON4,Bowl Add Ons,Harvest Blend Rice,95
30,IZW5JRSVL2JWNNCN4NANEWJP,Bowl Add Ons,AAA Certified Angus Beef,395
31,PXWLN47N47IKBIDCAWU6ZU4D,Bowl Add Ons,Extra Sauce,50
32,VU4CDGKEOGT6LRX77GGIM7SP,Bowl Add Ons,Jasberry Organic Superfood Rice,200
33,OGWF2TEKVYQAAIVGFT7HK4ZC,Bowl Add Ons,Kuterra Salmon,495
34,ID5CTKBC45NQPIXWIBBKMH3V,Goodbowls,Regular Goodbowl,1595
35,YE7Q5VLZXLGWYI265OUEPSRS,Goodbowls,Large Goodbowl,1945
36,NNGSG2U2N5U7IRJ5UPBYUUO3,Goodbowls,Kids Goodbowl,1345
37,WXY3NOTVRV5SGQ5YHU7RZ2VU,Regulatory Fees,Regulatory Bag Fee,25
38,F722AYL7C52CHLX6D6Z2DH27,Smoothie Add Ons,Kaizen Protein,195
39,6C2NFT5XLTEEIUHUQOFEZHRF,Smoothie Add Ons,Spinach,95
40,YJLCGBOP7B4QPUXVYAIFWGPV,Smoothie Add Ons,Peanut Butter,95
41,PO7P5S5EDY2M4UOFNVVUSAXO,Smoothie Add Ons,Flax Seeds,75
42,QGRGUKYDPOUXT2DXLGG6UX5C,Smoothie Add Ons,Chia Seeds,75
43,IXA42AQK6LKKJC4PIQDMSJ7G,Smoothie Add Ons,Kale,95
44,4L3LAL6BLYQZKOLCPTXDH2MP,Signature Bowls,Vegetarian Superfood Bowl,1695
45,Q7MRXIVKJPLJB5JUQCXFQAC7,Signature Bowls,Signature AAA Certified Angus Beef Goodbowl,1595
46,VMOQJKODIJEYGOTNA2TYABZN,Signature Bowls,Signature Chicken Goodbowl,1595
47,J2HXEFC3JDQLZFE62U6CBIAG,Signature Bowls,Signature Organic Tofu Goodbowl (Vegetarian),1595
48,27JFYWCXEG76UF2NMRT7EUTC,Vitamin Bar,Vitamin Bar Salad,845
49,63JYM4ZZ3JOL3IRAB5CY4WNJ,Vitamin Bar,Vitamin Bar LG Shot,495
50,TKAXULW2576FNPEBRGOEC4OW,Vitamin Bar,Vitamin Bar Juice,945
51,GP53DMYEQEGODS6BW3UTHAJN,Vitamin Bar,Vitamin Bar Apples/Peanut Butter,395
52,E3EKCBI622AHKTVJ5TXU5MOV,Vitamin Bar,Vitamin Bar Smoothie,895
53,F7Z5TW43LWF4NPVCPYQ5UR5X,Fruit Cups,Fresh Cut Pineapple Cup,399
54,ITK5DQ7AE4KM326AE6BB32UB,Salads,Crunch Salad,1295
55,IWGUYPVQVSFZVOOLWMMNY5TC,Family time,9oz Juice and Energy Bite,715
56,J2HXEFC3JDQLZFE62U6CBIAG,Bowls - Signature Goodbowls,Signature Organic Tofu Goodbowl (Vegetarian),1595
57,Q7MRXIVKJPLJB5JUQCXFQAC7,Bowls - Signature Goodbowls,Signature AAA Certified Angus Beef Goodbowl,1595
58,VMOQJKODIJEYGOTNA2TYABZN,Bowls - Signature Goodbowls,Signature Chicken Goodbowl,1595
59,4L3LAL6BLYQZKOLCPTXDH2MP,Bowls - Signature Goodbowls,Vegetarian Superfood Bowl,1695
60,ID5CTKBC45NQPIXWIBBKMH3V,Bowls - Custom Goodbowls,Regular Goodbowl,1595
61,YE7Q5VLZXLGWYI265OUEPSRS,Bowls - Custom Goodbowls,Large Goodbowl,1945
62,NNGSG2U2N5U7IRJ5UPBYUUO3,Bowls - Custom Goodbowls,Kids Goodbowl,1345
63,ITK5DQ7AE4KM326AE6BB32UB,Salads,Crunch Salad,1295
64,I5F3IYWEX66YFQSENE2N5N7R,Snacks,Good Energy Bites,150
65,F7Z5TW43LWF4NPVCPYQ5UR5X,Snacks,Fresh Cut Pineapple Cup,399
66,PFJJ5A7C6CQZBD4FOKIRWIHK,Smoothies,Green Machine,865
67,UH4EW7OZ34YYRAYFKPYM4ITZ,Smoothies,Chocolate Banana,865
68,K27FNV7DIVB7CMVDLHCY47BK,Smoothies,Good Berry,865
69,NDYG7TTHP577U7COAGVS7NZH,Smoothies,The Classic,865
70,4RAEVZVBHXPJYURFT4XB77RQ,Smoothies,Mango Magic,865
71,7KJGHIRJQ2BMABYHRLGKQ4MD,Juices/Shots,Fresh Squeezed Juice,815
72,MSENL5BCCKTI2U46LG2T4BV3,Juices/Shots,Lemon Ginger Shot,395
73,WCPRFNGE5NA7644IBECDEIFB,Juices/Shots,Antioxidant (Pomegranate) Shot,395
74,FUB2QZUNBB3J5YRNOJ4NWRFC,Juices/Shots,Goodbowl Reusable Water/Juice Bottle 500ml,1545
75,GZECQ33VK3PE7U5KUYZ2X7DD,Drinks,Prime - Hydration Drink,399
76,3A2DGUHKEI3HQIZQCILWKWAQ,Drinks,Gatorade Zero,295
77,UPIDKG76HZXL3JNAWWW7CBMO,Drinks,ZOA Zero Sugar Energy Drink,399
78,WH6GNQBCO46XTEIGQ4XDD4YR,Drinks,Pop - Can,245
79,G6ZH5Y427QJJU2P6NJPHPFRM,Drinks,Pop - Bottle,299
80,EQGUONP5ELU5M3IZDCC3Y2I4,Drinks,Smart Water,399
81,77J5ZTZMF5K3EL7BJOHGEDNI,Drinks,Bubly Carbonated Drink,225
82,XF6MXYD2ZYIL7RHWE2CFYGWP,Drinks,Vitamin Water,399
83,5GSCLAAVB324WPYYHSSQSCXW,Drinks,Gatorade G2,295
84,Z6KPPDVQYVRDXSOKLTG2FA3E,Drinks,Organic Coconut Water,399
85,D2HG3KYO2E4ZQLEAYPQS5NXN,Drinks,Aquafina Bottled Water,225
86,XK4IIQKONRG2V7DU7D4IM3AT,Drinks,EARTH Water,399
87,A2PXPF47L2L5QJG5ZRZAV7XB,Drinks,Cove Probiotic Soda,399
