,productId,category,productName,price
0,EiJ743pGfO74U37x0v0H,Lunch Menu,Spicy Southwest Chicken Rice Bowl,1500
1,DprNRw2erudGDp428ddV,Lunch Menu,Memphis Rice Bowl,1700
2,drMvhSX4rLF419ex6Xyy,Lunch Menu,Teriyaki Brisket Rice Bowl,1700
3,7C0K1HcbDyaI6LvMAT8V,Lunch Menu,Seafood Rice Bowl,1700
4,y2jCUVa7hqGXldm1QPcv,Lunch Menu,3 Little Pigs Rice Bowl,1700
5,BgogRAgnk9K5Y0o1GRSn,Starters,BBQ Nachos,2300
6,VM30gTSHfm8hfbgZO7Gk,Starters,BBQ Poutine,2200
7,ApZNHJ1MsQHxgM1gowBA,Starters,BBQ Shrimp Starter,1900
8,qoi9XV9jJKaHSTNKHrJY,Starters,Fire Dusted Calamari,2000
9,n3suoTq9Nb99tz6cEPqD,Starters,Fully Loaded Nachos,3400
10,sMQhslpyPE0SDywPeXPU,Starters,Rib Ends Starter,2000
11,KsyvT43nhIkiSDuvaFsC,Starters,Smoked Pit Wings Starter,1950
12,esRmkewxSpKJ3eqBBN2x,Starters,Smoked Sausage Starter,1100
13,fLUXE0yqn2FVaIrYnCug,Starters,Onion Rings Starter,1200
14,raDdDp4PzBL6U8ibaoEc,Starters,Corn Meal Crusted Shrimp,950
15,EHbDYTMWOHLeDT0GXgCZ,Salads,Caesar Salad,1400
16,kZw9UZPOQRmlkbtt6zea,Salads,Organic Green Salad,1100
17,XKtsp2ErA1TtQuWvjfbT,Meat by the Pound,1 pc Catfish,1100
18,UfXdv4RceavDAijHduod,Meat by the Pound,BBQ Chicken - Meat by the Pound,1800
19,7VR3z0MIQs4Tp0GKEbX4,Meat by the Pound,Pulled Pork - Meat by the Pound,1900
20,oBV7xXvLzq5EOfXlmouK,Meat by the Pound,Rib Ends - Meat by the Pound,2000
21,BRi6akKc0NT9Y5lqooGT,Meat by the Pound,Smoked Sausage - By the link,1100
22,mWnC0JkRRiqVdk2P3F7j,Meat by the Pound,Beef Brisket - Meat by the Pound,2900
23,ZDPiNDjybPkQ5k1ahLI6,Meat by the Pound,1/2 Slab of Ribs - Meat By the Pound,2500
24,a5ZBOlCcMdH1XaFyk6B7,Meat by the Pound,Full Slab of Ribs - Meat By the Pound,4000
25,fSJa1xXzDijcNmmweAsN,Platters,Memphis Feast,11500
26,mgBXv82TlYc69UXccUQE,Platters,Elvis Platter,16100
27,g4HUDF5KYhZrn0joqZtj,Platters,Priscilla Platter,29800
28,oMprkTb1qAjviX714HUE,Platters,Seafood Medley,3800
29,oIohlyJpPxSApdnE2Q0a,Meals,1/2 Chicken Meal,2900
30,lo2HGy9IT16AQK7cd4uW,Meals,Catfish Meal,2800
31,ba59hpIBO5IvN4oImCXv,Meals,Chicken Meal,4400
32,T9Sn6BLO0u8nNLKuNne6,Meals,Combo Plate Meal,4400
33,ZQMhB5C8m0icY9JiTdXV,Meals,Pulled Pork Meal,3300
34,WhZOELyusL065gQ8x0QJ,Meals,Rib Ends Meal,3300
35,sSiuIwxQbqoEOV1yVWM4,Meals,Ribs Meal,3600
36,cZgqsFpJBD68LH22Rzw8,Meals,Beef Brisket Meal,3800
37,jRjvUkDcKV8SFetoMkKF,Meals,Smoked Sausage Meal,2800
38,BoNtLE80d9IGdynlJbxu,Meals,Beef Ribs Meal,4900
39,fEcnpUfUChXc0l0jaibz,Sandwiches,2-Meat Sandwich,2400
40,kn2ynNJ8bmvUo02WrwHB,Sandwiches,Calamari Po'Boy Sandwich,2100
41,aWrE71KXeNQcevSu3MJ5,Sandwiches,Catfish Po'Boy Sandwich,2100
42,klQqJqVzW0rzes7dGh4E,Sandwiches,Pulled Chicken Sandwich,2100
43,zjRRbereJJ8w49C04WgY,Sandwiches,Pulled Pork Sandwich,2100
44,gyKuYZoIUNU7RXyyOpQW,Sandwiches,Rib Ends Sandwich,2000
45,vpZ3sd4xjNwBD5EEHJ6o,Sandwiches,Shrimp Po'Boy Sandwich,2100
46,KTuNg7vLmPBBvS3Jxmd6,Sandwiches,Beef Brisket Sandwich,2200
47,LoqyA2aQskbxvtk3heqH,Sandwiches,Smoked Sausage Sandwich,1900
48,mospCOfsB2EHLCgrOSXg,Sandwiches,Tennessee Hot Chicken Sandwich,2100
49,ZI1zfcfwDdooQpo3XSJZ,Sandwiches,Beef Rib Sandwich,2300
50,PsHV7JSnEaD9apzms4gl,Bowls,Burgoo,2000
51,NXpRXYcbmXq8E21Ui3bx,Bowls,Jambalaya,2800
52,1JiAkBTipTNS6MLLA9AA,Bowls,Smokehouse Chili,2000
53,EYHnP1feJFnttzYdm7hx,Sides,Side of BBQ Pit Beans,600
54,INAAlxyFUZsQwqQh8OLe,Sides,Side of Collard Greens,800
55,XzskGdaPdWgHkm1UOhML,Sides,Side of Corn Bread (5 pcs),800
56,DUlILOm9kKkNGFgJaUkW,Sides,Side of Fresh Cut Fries,700
57,fEEN0bX0vWFVW3uKkG0Z,Sides,Side of  Potato Salad,700
58,JoxCpuwRFu9UfWQXv3g7,Sides,Side of Slaw,600
59,EGh4Uu7EM2mRMVS29QPz,Sides,Side of Jamba Rice,900
60,eC8n7XoQAqBnSOqu0GXl,Sides,Soup,1100
61,TnN7hA0Qjo0lRXe8SOTw,Alcohol,"Powell Brewing DIVE BOMB Smooth Dark Ale, 473 ML can beer (5.0% ABV)",700
62,2oHePqDB7FxjxOqgTrKM,Alcohol,"Powell Brewing DIVE BOMB - OLD JALOPY Variety Pack, 4PK - 473 ML can beer (5.5% ABV)",2500
63,9N24eV9lT5UoPndafc16,Alcohol,"Powell Brewing DIVE BOMB Smooth Dark Ale, 4pk - 473 ML can beer (5.0% ABV)",2500
64,DHfBBHKXjuiAkDV2e18d,Alcohol,"Powell Brewing OLD JALOPY Pale Ale, 4pk - 473 ML can beer (5.5% ABV)",2500
65,8PzNqWoWZgpJk4T7df2T,Alcohol,"Powell Brewing OLD JALOPY Pale Ale, 473 ML can beer (5.5% ABV)",700
66,uQFf9YonEwcTcJfEY0MR,Alcohol,"Russell Brewing CRAFT LAGER, 355ml beer can , (5% ABV)",500
67,NadAExzM7Qe2NzqvBcCQ,Alcohol,"Russell Brewing WEST COAST IPA, 6pk - 355ml can beer, (5.5% ABV)",2000
68,Rg360nAtkkew01q4hRoH,Alcohol,"Russell Brewing CRAFT LAGER, 6pk - 355ml beer can , (5% ABV)",2000
69,yCtwPcP08dzpg8X3r7F0,Alcohol,"Russell Brewing WEST COAST IPA, 355ml can beer, (5.5% ABV)",500
70,nIAnrNqmrLtshSTgbUx4,Dessert,Key Lime Pie,700
71,Z3ERWBfYfGWvWeJXNWF2,Dessert,Peach Crumble,700
72,tOGzjwfIDjqkJe28uQ3F,Dessert,Pecan Pie,700
73,sPmOyv8IB2uIOSk82OJs,Beverages,Soda,500
74,7YRMihRYcmJD3CL2r9pB,Retail,Retail All Purpose Rub,1000
75,90rqfNWtj0sM4ctI6XyE,Retail,Retail BBQ Sauce,1100
76,3birZjQRFre1m3GpcYUC,Retail,Retail Carolina Mustard,1100
77,KCyhjGF6MzMxB1kG7o1R,Sauces on the Side,Side of Housemade BBQ Sauce,250
78,kHtzBFjoljv33R2XkPKH,Sauces on the Side,Side of Spicy BBQ Sauce,250
79,MTZrfMBmQPPMdf5tWMNz,Sauces on the Side,Side of Alabama White Sauce,250
80,6OHoxDlujOYUiNwC9Zwb,Sauces on the Side,Side of Buffalo Sauce,250
81,CMox2mSnT4kFxxvphCSj,Sauces on the Side,Side of Carolina Mustard,250
82,HXMKCIJ0MVI2owsIVlYR,Sauces on the Side,Side of Caster Sauce,250
83,ZfhpXxAEPCO7K5C5zyYs,Sauces on the Side,Crunch Sauce,250
84,EmbAlwI4RTLj2EpLIWwh,Sauces on the Side,Side of Teriyaki Sauce,250
85,65WQrXymltN654cbHweL,Sauces on the Side,Caramel Bourbon Sauce,300
86,cXM4BXMd0B6I2lx2B7fL,Sauces on the Side,Side of Mayonnaise,250
87,fSJa1xXzDijcNmmweAsN,Platters,Memphis Feast,11500
88,mgBXv82TlYc69UXccUQE,Platters,Elvis Platter,16100
89,g4HUDF5KYhZrn0joqZtj,Platters,Priscilla Platter,29800
90,oMprkTb1qAjviX714HUE,Platters,Seafood Medley,3800
91,BgogRAgnk9K5Y0o1GRSn,Starters,BBQ Nachos,2300
92,VM30gTSHfm8hfbgZO7Gk,Starters,BBQ Poutine,2200
93,ApZNHJ1MsQHxgM1gowBA,Starters,BBQ Shrimp Starter,1900
94,qoi9XV9jJKaHSTNKHrJY,Starters,Fire Dusted Calamari,2000
95,n3suoTq9Nb99tz6cEPqD,Starters,Fully Loaded Nachos,3400
96,sMQhslpyPE0SDywPeXPU,Starters,Rib Ends Starter,2000
97,KsyvT43nhIkiSDuvaFsC,Starters,Smoked Pit Wings Starter,1950
98,esRmkewxSpKJ3eqBBN2x,Starters,Smoked Sausage Starter,1100
99,fLUXE0yqn2FVaIrYnCug,Starters,Onion Rings Starter,1200
100,raDdDp4PzBL6U8ibaoEc,Starters,Corn Meal Crusted Shrimp,950
101,EHbDYTMWOHLeDT0GXgCZ,Salads,Caesar Salad,1400
102,kZw9UZPOQRmlkbtt6zea,Salads,Organic Green Salad,1100
103,PsHV7JSnEaD9apzms4gl,Bowls,Burgoo,2000
104,NXpRXYcbmXq8E21Ui3bx,Bowls,Jambalaya,2800
105,1JiAkBTipTNS6MLLA9AA,Bowls,Smokehouse Chili,2000
106,XKtsp2ErA1TtQuWvjfbT,Meat by the Pound,1 pc Catfish,1100
107,UfXdv4RceavDAijHduod,Meat by the Pound,BBQ Chicken - Meat by the Pound,1800
108,7VR3z0MIQs4Tp0GKEbX4,Meat by the Pound,Pulled Pork - Meat by the Pound,1900
109,oBV7xXvLzq5EOfXlmouK,Meat by the Pound,Rib Ends - Meat by the Pound,2000
110,BRi6akKc0NT9Y5lqooGT,Meat by the Pound,Smoked Sausage - By the link,1100
111,mWnC0JkRRiqVdk2P3F7j,Meat by the Pound,Beef Brisket - Meat by the Pound,2900
112,ZDPiNDjybPkQ5k1ahLI6,Meat by the Pound,1/2 Slab of Ribs - Meat By the Pound,2500
113,a5ZBOlCcMdH1XaFyk6B7,Meat by the Pound,Full Slab of Ribs - Meat By the Pound,4000
114,oIohlyJpPxSApdnE2Q0a,Meals,1/2 Chicken Meal,2900
115,lo2HGy9IT16AQK7cd4uW,Meals,Catfish Meal,2800
116,ba59hpIBO5IvN4oImCXv,Meals,Chicken Meal,4400
117,T9Sn6BLO0u8nNLKuNne6,Meals,Combo Plate Meal,4400
118,ZQMhB5C8m0icY9JiTdXV,Meals,Pulled Pork Meal,3300
119,WhZOELyusL065gQ8x0QJ,Meals,Rib Ends Meal,3300
120,sSiuIwxQbqoEOV1yVWM4,Meals,Ribs Meal,3600
121,cZgqsFpJBD68LH22Rzw8,Meals,Beef Brisket Meal,3800
122,jRjvUkDcKV8SFetoMkKF,Meals,Smoked Sausage Meal,2800
123,BoNtLE80d9IGdynlJbxu,Meals,Beef Ribs Meal,4900
124,fEcnpUfUChXc0l0jaibz,Sandwiches,2-Meat Sandwich,2400
125,kn2ynNJ8bmvUo02WrwHB,Sandwiches,Calamari Po'Boy Sandwich,2100
126,aWrE71KXeNQcevSu3MJ5,Sandwiches,Catfish Po'Boy Sandwich,2100
127,klQqJqVzW0rzes7dGh4E,Sandwiches,Pulled Chicken Sandwich,2100
128,zjRRbereJJ8w49C04WgY,Sandwiches,Pulled Pork Sandwich,2100
129,gyKuYZoIUNU7RXyyOpQW,Sandwiches,Rib Ends Sandwich,2000
130,vpZ3sd4xjNwBD5EEHJ6o,Sandwiches,Shrimp Po'Boy Sandwich,2100
131,KTuNg7vLmPBBvS3Jxmd6,Sandwiches,Beef Brisket Sandwich,2200
132,LoqyA2aQskbxvtk3heqH,Sandwiches,Smoked Sausage Sandwich,1900
133,mospCOfsB2EHLCgrOSXg,Sandwiches,Tennessee Hot Chicken Sandwich,2100
134,ZI1zfcfwDdooQpo3XSJZ,Sandwiches,Beef Rib Sandwich,2300
135,TnN7hA0Qjo0lRXe8SOTw,Alcohol,"Powell Brewing DIVE BOMB Smooth Dark Ale, 473 ML can beer (5.0% ABV)",700
136,2oHePqDB7FxjxOqgTrKM,Alcohol,"Powell Brewing DIVE BOMB - OLD JALOPY Variety Pack, 4PK - 473 ML can beer (5.5% ABV)",2500
137,9N24eV9lT5UoPndafc16,Alcohol,"Powell Brewing DIVE BOMB Smooth Dark Ale, 4pk - 473 ML can beer (5.0% ABV)",2500
138,DHfBBHKXjuiAkDV2e18d,Alcohol,"Powell Brewing OLD JALOPY Pale Ale, 4pk - 473 ML can beer (5.5% ABV)",2500
139,8PzNqWoWZgpJk4T7df2T,Alcohol,"Powell Brewing OLD JALOPY Pale Ale, 473 ML can beer (5.5% ABV)",700
140,uQFf9YonEwcTcJfEY0MR,Alcohol,"Russell Brewing CRAFT LAGER, 355ml beer can , (5% ABV)",500
141,NadAExzM7Qe2NzqvBcCQ,Alcohol,"Russell Brewing WEST COAST IPA, 6pk - 355ml can beer, (5.5% ABV)",2000
142,Rg360nAtkkew01q4hRoH,Alcohol,"Russell Brewing CRAFT LAGER, 6pk - 355ml beer can , (5% ABV)",2000
143,yCtwPcP08dzpg8X3r7F0,Alcohol,"Russell Brewing WEST COAST IPA, 355ml can beer, (5.5% ABV)",500
144,7YRMihRYcmJD3CL2r9pB,Retail,Retail All Purpose Rub,1000
145,90rqfNWtj0sM4ctI6XyE,Retail,Retail BBQ Sauce,1100
