,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
 14. Green Curry with Eggplant,-9.9824014e-05,0.003281964,-0.00048816367,0.0042323573,-0.00068608683,-0.005855063,0.00046783767,0.0042232815,-0.0014117704,-0.004915142,-0.0008109049,-0.0026496889,-0.003162968,0.00035704824,0.0034062364,-0.00043116105,-0.002239976,-0.0041769855,-0.003396933,-0.0025258192,0.0022510297,-0.0024333782,0.005997582,-0.0051276637,1.6035046e-05,-0.0036136308,-0.0057491106,0.0016495854,0.0018291736,-0.00012456003,0.0004654866,-0.0013920473,2.2624503e-05,6.987667e-05,0.00010917871,-0.00047135697,0.002276728,-0.0010251611,-0.0015355527,0.0027118204,1.03597995e-05,-0.0036602004,-0.0016846987,0.0017800631,0.0027393654,0.0036252101,0.0037632547,-0.002239902,0.00257415,0.0057937293,0.0069843256,-0.0036633648,0.003529314,-0.00076621165,-0.0041653235,0.0017859867,0.0022170797,0.0003296351,-0.0023815024,0.0008681965,-0.0010027881,0.0015207028,0.0015929609,-0.0060105915,9.483704e-05,0.004864677,0.0044282833,0.002273667,-0.0013095525,0.004188301,-0.00084000797,-0.00072580576,0.0009760143,0.0039268783,-0.0032259352,0.0027057186,-0.0007566954,-0.00028584298,0.0036484355,-0.0020429105,-0.0022235527,0.005020925,-0.0047353134,-0.0025394997,0.0023410735,-0.000607425,0.0017177855,-0.003147746,0.0017118793,0.002769835,0.0020274897,-0.0022344312,-0.0049374937,-0.005025715,-2.742093e-05,0.002980845,5.5917888e-05,-0.000851587,-0.0042577093,-0.0025894772
 Coke Zero (355 mL),0.005337557,0.005173817,0.0010787883,0.003188879,-0.0027207446,0.0026925858,0.0021686095,0.0015467578,0.00043033934,0.0011439525,0.0019434103,-0.0032894462,0.0040629697,-0.005689627,-0.0064101256,-0.0013105852,0.006366139,-0.0022899385,-0.0015728939,-0.0010160035,0.004748319,0.0032281287,0.0025607087,-0.0004895723,-0.0003996097,0.004117879,-0.0007373947,0.0017226348,0.0057222494,-0.0005434183,-0.0022727381,-0.004559026,0.0047871196,-0.006830472,0.0002492148,-0.0061909244,0.0009901872,-0.0022326072,0.0003836087,-0.0013573727,-0.0011300169,-0.00081185036,0.004675904,0.002763008,-0.0014599346,0.0028497821,-0.0039038553,-0.0036476394,-0.0054549947,-0.0008613475,0.005776679,0.00056933827,-0.004651561,-0.0050342963,-2.744662e-05,-0.006311854,0.003652937,-0.00045938478,-0.0031315156,-0.00067302975,-0.004206686,-0.0021970107,-0.003575708,0.005604565,-0.0020804207,0.0027850876,0.0018756539,0.0032705422,-0.0013077696,0.002299458,-0.0030874663,-0.0029976806,0.004088472,-0.0015552003,-0.001794761,-0.005259353,0.006535227,-0.0011127769,0.0010286673,0.0042667133,-0.005090033,0.0019434585,0.002478402,-0.004694884,-0.0031710768,-0.0022167836,0.00078784284,-0.0010618913,-0.00458817,-0.001200135,0.005468775,-0.0033650063,0.0023827406,0.0025653797,0.0015827754,-0.003970265,-5.5454366e-06,0.008139108,-0.0052217394,0.0019226765
 IND Zero (355 mL),0.0055686273,0.005749464,-0.005025243,-0.0027576068,-0.00023605333,-0.000100403406,0.003292936,0.0016545871,-0.0013997207,-0.003738788,0.0032160126,-0.0059300605,-4.9030874e-05,-0.006371673,-0.0048133223,-0.0022629097,0.003608143,-0.0009826035,0.002259018,-0.005026125,0.0039211693,0.004603203,0.0042936453,-0.0028994698,-0.0029598204,-0.0005800713,0.0028443083,-0.0022193443,0.0022281294,-0.0011799886,-0.0035929203,-0.006246506,0.0056186826,-0.004970523,-0.0007964324,-0.0060294024,-0.0008699323,0.0020636888,0.0022751307,0.0014359839,0.0021278635,-0.0034864426,0.0033247068,0.0023667102,0.0007888559,0.0063166437,-0.003711166,-0.0047960123,-0.0012160665,0.0014965417,0.0015120731,-0.00034545735,-0.0027791697,-0.0031252096,0.003364305,-0.002567365,0.0032638863,-0.0033854886,0.0020737036,0.00081638835,-0.00092850375,-0.00330644,-0.0038172798,0.0028378796,-0.0009957007,0.0015698938,0.0019394038,1.5643736e-05,-0.0025033935,0.0023075005,-0.0054438203,-0.007400999,0.0047533787,0.0016888306,-0.0040925657,-0.0049183276,0.0036663965,-0.0022481023,-0.0022614936,0.0040091737,-0.0023280724,0.0043636356,-0.00079425453,-0.0026866142,-0.001179038,-0.005226981,-0.0025414627,-0.00017081264,-0.0003559719,-0.0018189802,0.00048766736,-0.0031678136,-0.00087003614,0.0047375797,0.0005160882,-0.002456264,0.0022917197,0.004859106,-0.0066159316,0.0026412255
 L5G. Green Curry with Eggplants and Basil Leaves,-0.0013835311,0.004372121,-0.001955766,0.00213723,-0.0021146606,-0.0023176386,-0.0007180263,0.0040210905,0.0014162026,-0.0004356894,0.0012034446,0.0001475225,-0.0011902433,0.0005124396,0.00078938855,-0.0033227522,0.0019004784,-0.00594958,-0.003219704,0.0030167778,-0.0009356709,-7.704582e-05,0.0018273079,-0.0044227066,-0.0023854862,0.0013056706,-0.0059222966,-0.0013522048,0.0018159526,0.002050111,-0.001808101,-0.00028059844,0.001057109,5.433123e-05,0.0004147967,0.0012372412,-0.0014365165,0.0026731074,-0.0007382523,-0.00034220386,-0.00432888,-0.003635581,-0.0011002882,-0.00082114653,-0.0007146476,0.0022475065,0.002795815,-0.00082805415,-0.0004888572,0.0021030665,0.0031177646,-0.002722439,0.0030829248,0.002475212,0.0010416962,-0.0024105746,0.0016874472,-0.000751554,-0.002492936,-0.001145434,-0.0018827242,-5.7494202e-05,-0.00041649566,-0.001267199,0.0006910608,0.0022471563,0.0033248046,-0.00067908585,-0.0006440525,0.003284251,0.0005411385,-0.0025165714,0.0014692004,-0.0015828357,-0.0027189243,0.0014730758,-0.0023061442,0.002144168,0.0009702659,-0.0025125218,-0.0013637944,-0.00019245455,-0.0015670744,-0.0029895387,0.0034888408,-0.001597604,-0.0016953087,-0.0021599934,-0.0022595387,0.002129236,0.0011706129,-0.0024988088,-0.0003020113,-0.001009112,0.0010655416,-0.000234082,-0.0023201436,0.0011899176,-0.004135717,0.0002734671
 L7. Eggplant Basil Stir Fry,0.0033557368,0.0014354888,-0.0051633143,0.0016950702,-0.003204202,-0.001152714,0.0024886886,-0.002138869,-0.0044556325,-0.0050331433,0.00018755582,-0.0048061265,0.0021288812,0.0018127954,0.0031477252,-0.0019534035,0.0026929097,-0.0037105358,0.0026284645,0.0009608139,0.004155109,0.0018258761,0.00013529207,0.00045100995,-0.0015723901,-6.126112e-05,-0.0056479736,-0.0005873657,0.004219454,-0.0015014783,0.0006254007,-0.003009245,0.002219449,0.0033161228,-0.0032101213,0.0018915974,0.0005361141,-0.00025212043,-0.00026744272,-0.0024376304,-0.000828824,-0.00041290396,0.0037240814,0.00549189,-0.00071307266,0.0016838679,-0.000101614394,-0.0052711116,0.0048330785,0.0011820225,-0.0027469127,-0.00034551148,0.0010031478,-0.0013632171,0.0020000192,0.0037661304,0.0002407566,-0.0014887827,0.0013632802,-0.0028547165,0.0005261124,0.0015213622,0.0015010635,0.0009634462,-0.0028856318,0.0058804974,-0.0011837059,0.0009513667,-0.003871399,0.0030246242,0.002145878,-0.00033615145,0.0033315641,0.0014588045,-0.00091498496,0.0032543654,0.0008306653,0.003668053,-0.0028987627,-0.004420641,-0.0034024003,-0.0011401074,-0.0023483625,0.0028349003,0.003960647,0.00204545,0.0010156338,-0.0004717199,-0.0005480483,-0.0035111997,0.00014679536,-0.00076381664,-0.0032098629,0.0016322471,-0.0037249986,0.0008467871,-0.002339454,0.002922703,0.0033269688,-0.0002159269
11. Tom Ka Gai,-0.0034622203,0.0022463363,-0.0036881063,0.0071704504,0.00052689324,0.00436817,-0.0016013774,0.003613787,-0.006545508,0.0030052823,0.004110918,0.0027263453,-0.0024821388,0.0025678873,0.0026702161,0.000447082,-0.00034097745,0.000542139,-0.0015214797,0.00096075237,-0.005229805,-0.0013258163,0.0044879788,-0.006820437,0.0028293813,0.0026791256,-0.008030527,-0.0052798763,-0.002717427,0.0022834234,-0.0029230977,-0.0025449654,-0.004605008,-0.004180262,-0.0014967666,-0.0025372715,-0.0032989148,0.002521998,-0.0014573768,-0.0020549113,-0.00093123224,-0.0053315065,0.0025869112,0.0067363624,-0.0004830969,0.00011486063,-0.0056754462,0.0010133948,0.0030533231,0.00042740093,0.0049582026,-0.0005312913,0.0030716192,-0.0015598101,-0.0037772655,-0.0014440533,0.0027281512,0.004034245,-0.0056422,-0.0012170678,0.0003387962,-0.0010051987,-0.0049046925,-0.0027773103,0.0054292767,-0.0010175415,-0.0001026846,0.0063120998,-0.002527153,-0.0036453486,0.00065524835,-0.0011839741,-4.919696e-05,0.0027741918,-0.0007390524,0.00165128,-0.006259764,-0.0007435346,-0.0014602384,-0.0014523127,-0.0009691394,-0.005288429,0.0028574087,0.003453382,0.0011205454,0.005321566,0.0030660809,-0.0008595227,-0.0034405303,0.00095776544,0.006665154,0.005058135,0.00043004006,0.0062368163,0.0031611475,0.0015591871,-0.002570721,-0.0020842038,0.0024651482,-0.007654365
12. Tom Yum Kung,-0.0027558124,0.0059758625,0.002377,-0.0008871712,0.005945019,-0.003269335,0.0052060564,-0.002281259,-0.003991418,-0.004044659,0.0039114174,0.00073328294,0.0001514125,-0.0025362112,0.00022351788,0.000119886245,0.0039789216,0.0011680365,-0.0007513805,-0.0009635479,-0.0016200658,-0.0049814037,0.002274826,-0.0040761293,-0.0009977878,0.0015727727,-0.0051092557,-0.0026120313,0.0015356205,-0.0037045504,-0.004083369,0.00095712737,-0.0063778893,0.00567838,0.0013452461,0.0012305332,-0.0014949449,-0.0005357899,0.0015024608,-0.0038181737,-0.0020615926,0.0010520854,-0.0011897455,-0.00055801123,0.002766725,-0.0021600337,-0.0033875236,-0.0023225108,-0.0030867949,0.001769322,0.0041611954,-0.00034487332,0.005752433,-0.0061588637,-0.0052062673,-0.0007147868,0.004679125,0.00674191,-0.0038164612,0.0016412741,-0.00043642792,-0.004026208,-0.0021447742,0.0023763056,0.00786814,-0.0026945656,-0.0009967204,0.003511617,0.0042667445,0.00057678536,-0.0055190646,-0.000144816,0.0019966392,0.002788213,-0.0024682926,0.0025896237,-0.0035845533,-0.00041534155,-0.00013827435,-0.004328501,0.003851857,0.0025015099,-2.8556678e-06,0.0017689947,-0.0032603303,0.0032786326,0.004703788,-0.0018105156,0.0024004476,0.0072359056,0.005991885,0.0005550163,0.0011797658,-0.0005931005,0.005076911,0.0025051548,-0.005232072,0.002045239,0.00394599,0.003743015
13. Thai Noodle Soup,-0.0018011086,-0.0013185401,0.00081202044,0.0020552722,-0.005029378,-0.0063059065,-0.0046628397,0.0047838306,-0.0039162,-0.0012794408,0.0018888419,-0.005372619,0.0006623138,0.0008614229,-0.0017796623,0.002711273,-0.00035076914,-0.0024107844,0.004059317,-0.004317915,-0.0016514811,0.0026369374,-0.001183015,-0.0026450057,-0.0016213249,-0.00014414794,-0.0034993885,0.004580256,0.0014020157,-0.0031996479,-0.00010670698,-0.0006488399,0.0054617687,0.00874061,-0.0027178458,0.006281607,0.0043633133,-0.0017013085,-0.00466601,0.0043419725,0.003842715,9.9891e-05,-0.0054528243,0.003608344,-0.00086112437,0.0010865106,-0.004622045,-0.0017204637,-0.0005009232,-0.00041033383,-0.002543385,0.0009404269,0.000342316,0.0062256306,0.0013135822,-0.00056955963,-0.00029232973,-0.0021177996,0.007124635,0.0034294508,-0.0032409222,0.00015817715,0.0022520602,-0.00085130736,-0.0024995448,-0.0019064712,-0.005481442,-0.0024201956,0.0026012277,-0.00033077053,-0.0007613215,0.004684485,-0.00051474426,-0.0016771838,0.0038381058,0.0042716726,0.002571077,-0.0050541707,0.00088507443,0.0005134943,0.00018322624,0.0015666304,0.00071808713,0.0069290265,-0.0051844358,0.0012920239,-0.0065418785,-0.0007880582,0.007165482,0.006251233,-0.0014606955,0.0046661017,-0.0010509599,0.0015246676,-0.0002718172,-2.2891027e-05,0.0024113015,0.0030545362,0.0068128523,0.00068528485
15. Yellow Curry with Potato,0.0047415663,0.0018662249,0.0029956785,0.002005084,0.0027597535,-0.0009480538,-0.003310517,0.005669187,-0.0024451902,-0.003225715,0.0010565885,-0.0011963896,-0.003914119,0.0031868983,0.002722609,-0.00043048162,0.0011993991,0.0024607843,-0.0036085264,-0.003734024,0.0019814342,-0.007517014,0.0025607282,-0.0070958883,-2.6109454e-05,-0.003571703,-0.006392756,1.5335972e-05,0.0042772563,0.0022395372,-0.0014382438,-0.0021017396,0.00068541546,-0.0049878713,0.0031954087,0.0030029532,-0.0020214065,0.0011159289,0.0027634671,0.0024942828,-0.0009970816,-0.0019784537,-0.00040537072,0.0015810581,0.0016114509,-0.0025606714,0.004278947,-0.00070850854,-0.0006027078,0.0024480524,0.0016654625,-0.0036445754,0.0020186275,0.004753169,-0.002718281,0.0030939048,0.0044272495,0.0048899497,0.0007190379,-0.0019617067,0.00084588735,0.0014100787,-0.0010554601,-0.002387722,-0.0036144878,0.005908607,0.005117864,0.0033785189,0.0029347423,0.0035517598,-0.0033587692,0.00029268558,0.00022293604,0.0009866168,0.0012750155,-0.0038211248,-0.0044084718,0.0012303307,0.0031369058,-0.0009902079,-0.0016087906,0.0020939712,-0.0034514305,0.0018471228,0.0013311054,-0.00043688342,-0.0022040259,-0.003002298,0.0037408927,-0.00092715013,0.00041959784,-0.0042663803,-0.0016391692,-0.0040835426,0.004468335,0.0028660363,-0.003866157,-0.0006719243,-0.0033325641,0.0008504548
16 Pieces Cut Rolls,-0.0015337169,0.0007080186,0.0059269643,-0.0035872466,0.003520187,-0.004463414,0.0029397944,0.0041659824,0.0008654418,-0.0037729836,-0.003118782,-0.0075678974,-0.0031543756,-0.004089164,0.0003793463,0.005092149,-0.0018827678,0.0009354706,-0.0018660245,-0.0013333258,-0.0026269332,0.0023796617,-0.0017378103,-0.0024146752,0.0014695004,0.0041362518,0.0009817034,0.00039619437,0.0036954249,0.001202548,0.0045388695,-0.0015365826,0.005992763,0.0012391253,-0.0035771008,0.0021165893,0.002867581,0.004048269,-0.00041007064,-0.005532434,-0.0028674726,0.0022749463,0.0048447046,-0.004194925,0.0005488169,0.0031652523,-0.0022020962,0.0083813295,-0.003268223,-0.0011089167,-0.0037141237,-0.0042214324,0.0059808497,0.0013720646,-0.004413253,-0.0010959882,-0.0007914771,-0.0010687636,0.0008834141,0.00064047845,0.00401551,0.0042788438,-0.0013236963,-0.0008042832,-0.004222035,-0.00079119223,-0.0026877273,0.004157559,-0.003788636,0.00028174356,-0.0007038236,0.0052666296,0.0034980662,0.0011033107,0.0033478504,0.0011326025,0.0013962631,0.0015163774,-0.0022056052,-1.3620593e-06,0.002853971,0.0022049218,-0.0017935733,-0.00044870563,0.003394164,0.0066196434,0.0012666876,0.0024996041,-0.0010862829,-0.0032664088,-0.0019819431,0.0035818305,0.0011751802,0.0066422857,-0.001874343,0.0047852425,-0.0085078,0.0004151192,0.0041094883,-0.00044436767
